FLASH,DESS,FISP,PSIF,Class
69,39,42,26,CLU0
55,28,68,85,CLU0
187,26,47,83,CLU0
267,97,75,105,CLU0
177,78,35,83,CLU0
111,48,101,35,CLU0
34,8,55,16,CLU0
6,6,7,7,CLU0
4,6,4,3,CLU0
3,3,4,3,CLU0
6,4,7,6,CLU0
6,2,2,14,CLU0
4,8,7,5,CLU0
9,5,4,9,CLU0
13,4,3,5,CLU0
11,5,4,7,CLU0
9,5,9,4,CLU0
5,3,9,6,CLU0
5,11,10,9,CLU0
12,6,7,6,CLU0
71,33,57,74,CLU0
74,36,56,81,CLU0
73,30,42,63,CLU0
74,29,52,50,CLU0
63,30,51,62,CLU0
60,34,38,56,CLU0
65,39,59,51,CLU0
70,43,56,64,CLU0
73,37,58,66,CLU0
81,40,55,65,CLU0
84,42,53,67,CLU0
85,48,57,59,CLU0
78,49,66,66,CLU0
88,57,74,49,CLU0
97,53,67,34,CLU0
79,50,72,35,CLU0
74,56,74,48,CLU0
85,47,85,60,CLU0
80,45,86,82,CLU0
82,46,94,39,CLU0
73,47,87,26,CLU0
66,40,69,41,CLU0
74,37,55,46,CLU0
110,59,63,48,CLU0
105,52,72,72,CLU0
110,56,62,53,CLU0
111,53,69,4,CLU0
115,49,76,20,CLU0
102,49,88,11,CLU0
93,53,92,21,CLU0
92,74,113,22,CLU0
98,76,122,23,CLU0
94,71,107,24,CLU0
81,74,98,23,CLU0
85,70,84,81,CLU0
67,62,86,109,CLU0
12,21,50,95,CLU0
24,23,38,110,CLU0
32,21,41,114,CLU0
33,14,28,131,CLU0
38,17,28,132,CLU0
39,13,34,118,CLU0
32,21,50,112,CLU0
39,20,45,154,CLU0
35,19,48,158,CLU0
37,22,62,134,CLU0
41,28,72,69,CLU0
41,43,71,30,CLU0
26,37,85,36,CLU0
32,35,91,83,CLU0
49,31,85,92,CLU0
44,38,74,97,CLU0
42,29,67,90,CLU0
44,36,56,109,CLU0
35,43,78,148,CLU0
32,31,76,153,CLU0
25,30,81,229,CLU0
40,36,91,256,CLU0
52,58,107,190,CLU0
57,86,148,133,CLU0
111,94,167,135,CLU0
113,94,180,113,CLU0
122,102,182,141,CLU0
143,101,192,120,CLU0
151,104,185,98,CLU0
135,88,173,128,CLU0
144,93,183,111,CLU0
145,106,184,107,CLU0
129,100,192,99,CLU0
138,112,182,102,CLU0
150,111,186,123,CLU0
142,125,184,103,CLU0
140,108,174,95,CLU0
136,109,175,100,CLU0
139,112,186,120,CLU0
130,111,188,128,CLU0
144,107,182,91,CLU0
148,103,182,101,CLU0
143,114,180,84,CLU0
148,114,188,106,CLU0
152,117,179,103,CLU0
142,102,170,90,CLU0
156,115,178,68,CLU0
164,104,181,69,CLU0
156,101,182,97,CLU0
158,108,165,108,CLU0
162,117,168,95,CLU0
164,117,168,66,CLU0
150,132,182,75,CLU0
132,128,176,98,CLU0
141,120,192,113,CLU0
138,119,201,117,CLU0
141,123,187,135,CLU0
136,120,183,123,CLU0
146,127,196,125,CLU0
146,120,193,111,CLU0
152,115,193,120,CLU0
143,126,192,105,CLU0
150,117,184,118,CLU0
133,121,184,125,CLU0
128,126,193,108,CLU0
146,124,185,99,CLU0
131,104,178,113,CLU0
132,132,179,112,CLU0
137,118,179,119,CLU0
139,125,180,107,CLU0
131,128,181,92,CLU0
143,131,169,98,CLU0
133,120,174,102,CLU0
140,124,177,130,CLU0
144,129,177,130,CLU0
148,132,176,127,CLU0
144,121,184,139,CLU0
133,138,179,168,CLU0
106,123,176,134,CLU0
128,144,179,228,CLU0
112,166,150,272,CLU0
93,164,142,203,CLU0
67,213,127,315,CLU0
62,223,117,313,CLU0
138,155,171,161,CLU0
153,110,191,120,CLU0
157,126,183,126,CLU0
145,112,182,118,CLU0
157,106,170,116,CLU0
113,112,163,96,CLU0
95,127,173,135,CLU0
109,125,184,128,CLU0
121,129,184,127,CLU0
146,110,191,115,CLU0
158,113,194,112,CLU0
137,115,185,115,CLU0
105,118,179,120,CLU0
104,118,186,123,CLU0
116,113,183,116,CLU0
140,111,181,102,CLU0
154,110,193,117,CLU0
131,122,196,124,CLU0
118,118,180,124,CLU0
101,116,176,114,CLU0
97,132,174,119,CLU0
104,121,172,130,CLU0
112,118,169,117,CLU0
115,112,168,171,CLU0
124,109,174,190,CLU0
127,118,169,173,CLU0
114,115,159,103,CLU0
107,118,144,154,CLU0
103,132,148,184,CLU0
81,149,179,121,CLU0
70,132,183,116,CLU0
88,117,183,117,CLU0
85,109,186,118,CLU0
100,105,179,125,CLU0
117,108,176,107,CLU0
113,95,179,95,CLU0
126,103,170,107,CLU0
127,98,176,104,CLU0
138,102,177,112,CLU0
137,102,184,103,CLU0
128,98,181,119,CLU0
109,98,170,112,CLU0
122,107,152,131,CLU0
99,106,153,146,CLU0
49,172,122,219,CLU0
34,164,106,308,CLU0
19,151,105,328,CLU0
39,136,92,303,CLU0
56,91,100,265,CLU0
70,58,98,101,CLU0
101,61,89,33,CLU0
5,18,4,11,CLU0
8,11,14,18,CLU0
34,18,17,7,CLU0
10,2,7,15,CLU0
24,10,6,18,CLU0
27,9,12,22,CLU0
74,37,40,33,CLU0
55,29,82,62,CLU0
192,30,45,63,CLU0
252,96,92,130,CLU0
163,79,35,89,CLU0
113,43,97,28,CLU0
32,7,49,8,CLU0
6,5,4,7,CLU0
8,5,6,6,CLU0
0,6,3,3,CLU0
5,7,6,5,CLU0
10,3,6,4,CLU0
3,7,3,7,CLU0
6,9,2,7,CLU0
9,3,3,6,CLU0
9,7,3,2,CLU0
8,7,7,3,CLU0
1,3,5,8,CLU0
6,11,12,13,CLU0
7,6,4,4,CLU0
55,30,60,108,CLU0
54,29,64,120,CLU0
57,29,51,121,CLU0
58,29,60,98,CLU0
46,27,60,99,CLU0
47,26,42,77,CLU0
55,28,59,74,CLU0
64,30,52,71,CLU0
69,26,51,80,CLU0
80,27,44,69,CLU0
75,29,44,68,CLU0
78,36,49,50,CLU0
72,43,59,54,CLU0
91,51,58,60,CLU0
93,48,56,47,CLU0
75,50,61,60,CLU0
85,49,67,49,CLU0
94,43,75,41,CLU0
76,47,81,58,CLU0
79,57,86,37,CLU0
80,52,76,55,CLU0
74,48,78,97,CLU0
72,42,68,99,CLU0
96,54,60,94,CLU0
94,46,69,87,CLU0
99,52,70,67,CLU0
100,43,61,33,CLU0
103,49,65,52,CLU0
100,43,82,58,CLU0
86,53,81,59,CLU0
97,73,86,88,CLU0
92,70,90,89,CLU0
87,62,77,115,CLU0
77,59,67,126,CLU0
84,57,52,151,CLU0
94,52,59,149,CLU0
38,29,51,141,CLU0
31,21,43,154,CLU0
34,21,37,166,CLU0
25,24,31,162,CLU0
41,26,42,147,CLU0
26,20,59,112,CLU0
44,30,68,70,CLU0
41,38,67,88,CLU0
37,28,63,71,CLU0
44,37,74,45,CLU0
53,36,74,33,CLU0
52,46,66,79,CLU0
43,49,96,99,CLU0
50,53,95,134,CLU0
58,39,79,99,CLU0
47,46,69,69,CLU0
40,27,70,97,CLU0
27,38,69,118,CLU0
31,31,72,107,CLU0
37,39,84,133,CLU0
32,31,85,273,CLU0
40,51,101,247,CLU0
57,92,127,115,CLU0
79,106,170,100,CLU0
132,99,175,114,CLU0
130,99,174,114,CLU0
144,103,180,118,CLU0
149,103,184,113,CLU0
133,110,179,125,CLU0
124,97,166,148,CLU0
132,105,179,133,CLU0
140,105,187,108,CLU0
137,106,189,90,CLU0
145,117,182,88,CLU0
146,113,183,102,CLU0
150,125,184,71,CLU0
146,111,182,84,CLU0
140,111,177,71,CLU0
145,106,187,72,CLU0
137,110,192,73,CLU0
154,104,185,58,CLU0
141,99,185,50,CLU0
146,105,185,49,CLU0
156,107,188,97,CLU0
154,115,174,111,CLU0
135,109,164,108,CLU0
147,114,167,66,CLU0
149,114,165,86,CLU0
149,110,169,91,CLU0
148,109,165,127,CLU0
153,112,170,98,CLU0
155,112,179,78,CLU0
146,131,191,94,CLU0
132,130,174,90,CLU0
142,124,195,97,CLU0
138,120,197,105,CLU0
144,122,189,126,CLU0
136,118,183,107,CLU0
145,125,188,132,CLU0
146,121,189,108,CLU0
157,128,194,128,CLU0
145,138,187,111,CLU0
144,119,183,117,CLU0
129,126,184,121,CLU0
132,132,188,110,CLU0
146,125,182,106,CLU0
129,114,176,107,CLU0
133,133,178,105,CLU0
132,124,179,105,CLU0
132,128,175,107,CLU0
130,132,185,89,CLU0
136,131,177,114,CLU0
129,124,173,110,CLU0
135,126,174,122,CLU0
136,130,177,128,CLU0
144,122,181,119,CLU0
137,122,188,142,CLU0
126,123,180,148,CLU0
106,131,175,147,CLU0
132,134,180,191,CLU0
118,140,173,192,CLU0
83,166,156,145,CLU0
64,219,156,362,CLU0
76,195,132,321,CLU0
147,131,178,127,CLU0
151,122,181,143,CLU0
157,118,186,108,CLU0
157,113,178,126,CLU0
145,100,174,100,CLU0
98,121,161,108,CLU0
99,121,174,123,CLU0
112,121,181,149,CLU0
134,120,173,125,CLU0
154,110,179,120,CLU0
155,110,182,110,CLU0
131,117,178,125,CLU0
101,125,178,124,CLU0
101,114,185,119,CLU0
121,112,189,116,CLU0
148,110,187,99,CLU0
140,111,196,121,CLU0
121,121,181,121,CLU0
113,118,179,118,CLU0
94,123,169,122,CLU0
98,134,166,127,CLU0
109,124,171,130,CLU0
121,113,175,118,CLU0
114,116,171,119,CLU0
125,113,179,114,CLU0
133,121,182,145,CLU0
121,121,183,109,CLU0
109,115,172,155,CLU0
120,123,160,206,CLU0
101,139,165,164,CLU0
85,137,172,116,CLU0
89,125,179,96,CLU0
70,117,186,103,CLU0
77,109,177,118,CLU0
111,109,166,116,CLU0
111,97,170,104,CLU0
118,104,168,103,CLU0
124,104,178,110,CLU0
140,110,182,109,CLU0
139,103,184,106,CLU0
131,98,180,109,CLU0
114,100,171,114,CLU0
122,107,155,126,CLU0
100,102,160,169,CLU0
52,156,117,273,CLU0
36,155,100,300,CLU0
19,144,100,342,CLU0
43,124,86,319,CLU0
56,67,101,243,CLU0
93,59,73,88,CLU0
92,59,95,42,CLU0
9,17,6,9,CLU0
8,9,19,21,CLU0
19,18,19,7,CLU0
11,4,11,16,CLU0
23,14,2,18,CLU0
26,14,10,27,CLU0
76,36,43,38,CLU0
65,28,89,31,CLU0
204,38,35,85,CLU0
235,90,94,139,CLU0
148,82,30,86,CLU0
120,41,97,23,CLU0
31,6,46,4,CLU0
9,8,4,3,CLU0
9,7,7,8,CLU0
7,4,2,6,CLU0
11,6,3,4,CLU0
12,4,9,3,CLU0
2,7,2,5,CLU0
10,7,3,3,CLU0
1,4,1,6,CLU0
2,7,2,6,CLU0
9,8,6,7,CLU0
3,4,3,10,CLU0
6,9,12,8,CLU0
7,10,3,1,CLU0
40,34,57,106,CLU0
39,30,65,115,CLU0
43,35,58,119,CLU0
41,32,62,110,CLU0
34,31,65,123,CLU0
34,26,49,116,CLU0
38,27,62,85,CLU0
51,21,53,88,CLU0
57,21,54,91,CLU0
55,19,46,77,CLU0
52,22,48,58,CLU0
61,27,49,48,CLU0
74,33,48,55,CLU0
85,39,49,75,CLU0
79,40,54,69,CLU0
72,44,54,72,CLU0
93,37,65,70,CLU0
97,38,64,57,CLU0
84,48,67,44,CLU0
84,59,76,50,CLU0
90,51,63,95,CLU0
89,53,73,147,CLU0
83,46,61,159,CLU0
87,52,53,158,CLU0
92,45,59,144,CLU0
90,49,71,130,CLU0
89,37,59,123,CLU0
92,46,63,136,CLU0
97,42,68,147,CLU0
89,49,64,162,CLU0
91,63,63,209,CLU0
85,55,67,211,CLU0
78,51,54,225,CLU0
80,46,55,215,CLU0
74,45,48,178,CLU0
90,47,56,159,CLU0
62,32,55,130,CLU0
52,21,62,151,CLU0
50,28,43,174,CLU0
44,37,45,144,CLU0
55,41,52,123,CLU0
42,35,65,82,CLU0
45,37,71,10,CLU0
38,49,75,9,CLU0
42,36,70,20,CLU0
46,44,74,26,CLU0
56,40,73,44,CLU0
53,38,64,65,CLU0
51,49,87,80,CLU0
59,56,75,117,CLU0
54,39,69,107,CLU0
45,44,65,80,CLU0
44,36,78,82,CLU0
27,40,85,128,CLU0
41,40,77,135,CLU0
50,63,92,160,CLU0
41,51,85,280,CLU0
35,79,112,182,CLU0
65,110,147,74,CLU0
110,109,169,107,CLU0
143,99,174,113,CLU0
140,105,161,115,CLU0
140,103,169,99,CLU0
142,107,173,116,CLU0
119,113,175,138,CLU0
121,107,162,141,CLU0
122,111,172,110,CLU0
140,102,188,90,CLU0
146,112,177,86,CLU0
144,113,179,85,CLU0
139,109,174,92,CLU0
151,118,184,62,CLU0
152,106,187,73,CLU0
139,107,178,48,CLU0
142,97,181,43,CLU0
145,107,181,54,CLU0
155,104,177,63,CLU0
136,99,185,39,CLU0
143,95,184,47,CLU0
158,107,185,73,CLU0
152,111,174,110,CLU0
137,125,169,132,CLU0
140,122,169,87,CLU0
128,121,161,110,CLU0
139,118,165,94,CLU0
139,108,164,142,CLU0
141,112,170,112,CLU0
142,110,183,80,CLU0
142,133,190,113,CLU0
133,134,177,88,CLU0
137,128,192,81,CLU0
140,125,196,94,CLU0
148,124,188,120,CLU0
144,120,184,95,CLU0
145,119,186,128,CLU0
151,131,186,114,CLU0
156,138,188,130,CLU0
147,139,178,116,CLU0
136,124,183,110,CLU0
134,129,183,109,CLU0
142,135,179,112,CLU0
144,128,177,113,CLU0
132,131,179,108,CLU0
136,132,172,102,CLU0
123,128,180,95,CLU0
124,130,173,102,CLU0
130,132,183,93,CLU0
126,132,185,120,CLU0
129,129,175,114,CLU0
125,129,177,110,CLU0
128,130,184,124,CLU0
143,119,193,112,CLU0
127,126,190,140,CLU0
114,117,172,133,CLU0
118,133,180,145,CLU0
135,135,185,154,CLU0
112,138,172,156,CLU0
79,176,160,137,CLU0
42,228,160,352,CLU0
89,189,151,283,CLU0
153,120,180,132,CLU0
153,132,174,150,CLU0
154,115,185,93,CLU0
166,117,174,118,CLU0
121,102,176,95,CLU0
96,125,166,111,CLU0
106,120,171,115,CLU0
115,121,178,149,CLU0
145,114,175,122,CLU0
161,113,173,123,CLU0
151,110,179,107,CLU0
133,119,180,131,CLU0
105,126,182,125,CLU0
101,114,182,124,CLU0
121,113,188,119,CLU0
148,109,188,105,CLU0
129,114,191,121,CLU0
115,119,172,120,CLU0
108,113,180,113,CLU0
92,124,167,136,CLU0
106,126,169,132,CLU0
114,122,171,131,CLU0
120,117,179,111,CLU0
121,118,174,107,CLU0
130,114,171,93,CLU0
141,122,184,124,CLU0
133,124,183,121,CLU0
115,116,188,140,CLU0
131,118,175,184,CLU0
121,121,157,196,CLU0
110,130,157,141,CLU0
100,132,168,101,CLU0
77,131,175,94,CLU0
65,122,174,104,CLU0
99,108,163,118,CLU0
113,105,166,110,CLU0
111,108,171,97,CLU0
123,107,180,106,CLU0
137,116,184,99,CLU0
140,106,184,108,CLU0
135,99,176,99,CLU0
121,102,165,117,CLU0
118,108,157,115,CLU0
105,103,162,166,CLU0
60,140,117,295,CLU0
37,153,92,296,CLU0
31,145,83,334,CLU0
47,104,88,315,CLU0
62,51,91,190,CLU0
109,59,73,88,CLU0
80,52,103,53,CLU0
9,14,7,19,CLU0
20,6,19,23,CLU0
10,17,19,12,CLU0
11,7,11,21,CLU0
17,10,3,17,CLU0
25,18,9,32,CLU0
78,37,50,30,CLU0
73,19,77,21,CLU0
214,47,39,109,CLU0
229,81,77,127,CLU0
140,84,23,80,CLU0
124,41,106,26,CLU0
28,6,41,5,CLU0
6,9,9,4,CLU0
10,7,6,6,CLU0
14,4,6,7,CLU0
13,5,2,6,CLU0
8,5,8,3,CLU0
2,8,7,3,CLU0
13,5,3,6,CLU0
4,7,5,5,CLU0
6,7,2,11,CLU0
9,7,9,9,CLU0
10,5,5,10,CLU0
6,9,7,1,CLU0
10,9,6,5,CLU0
13,9,6,12,CLU0
35,37,55,84,CLU0
37,37,65,97,CLU0
40,38,63,85,CLU0
38,35,59,89,CLU0
37,36,60,106,CLU0
31,34,53,126,CLU0
29,31,60,85,CLU0
44,24,53,85,CLU0
51,23,58,74,CLU0
30,20,52,72,CLU0
33,25,56,45,CLU0
46,22,54,49,CLU0
67,27,43,38,CLU0
68,30,53,59,CLU0
64,35,60,70,CLU0
67,32,54,63,CLU0
85,30,69,68,CLU0
84,36,62,86,CLU0
87,46,58,101,CLU0
91,54,73,106,CLU0
91,46,61,118,CLU0
96,55,66,161,CLU0
90,45,49,190,CLU0
83,47,47,208,CLU0
90,43,50,210,CLU0
84,44,66,209,CLU0
81,39,63,209,CLU0
84,39,70,214,CLU0
92,43,57,214,CLU0
90,39,57,231,CLU0
79,48,59,278,CLU0
76,43,63,282,CLU0
66,42,52,251,CLU0
72,41,64,203,CLU0
55,35,54,135,CLU0
57,44,66,132,CLU0
58,30,70,104,CLU0
61,21,74,118,CLU0
46,35,58,128,CLU0
52,44,64,113,CLU0
56,40,63,126,CLU0
56,38,60,86,CLU0
42,40,68,32,CLU0
43,43,75,16,CLU0
52,39,71,7,CLU0
39,37,69,2,CLU0
46,35,76,59,CLU0
41,29,74,107,CLU0
45,42,75,100,CLU0
49,46,58,114,CLU0
41,32,66,122,CLU0
40,37,64,93,CLU0
48,40,77,63,CLU0
37,37,81,115,CLU0
52,50,82,121,CLU0
53,71,87,175,CLU0
39,70,91,238,CLU0
38,105,132,95,CLU0
97,109,162,83,CLU0
140,104,156,126,CLU0
146,103,166,113,CLU0
140,112,153,121,CLU0
128,108,159,113,CLU0
139,108,169,119,CLU0
123,107,172,128,CLU0
127,109,165,120,CLU0
119,103,169,80,CLU0
142,98,186,75,CLU0
145,108,165,85,CLU0
141,105,173,81,CLU0
140,103,167,80,CLU0
147,110,184,50,CLU0
151,101,189,57,CLU0
139,101,179,52,CLU0
137,95,174,53,CLU0
152,106,166,70,CLU0
149,107,167,83,CLU0
141,103,181,53,CLU0
139,96,175,51,CLU0
154,114,175,55,CLU0
144,110,175,92,CLU0
136,132,174,129,CLU0
139,128,176,104,CLU0
122,118,170,128,CLU0
137,117,168,114,CLU0
136,110,166,138,CLU0
133,117,174,123,CLU0
138,115,182,80,CLU0
139,139,184,122,CLU0
136,131,186,91,CLU0
134,128,190,79,CLU0
142,124,199,99,CLU0
153,125,186,120,CLU0
152,124,182,95,CLU0
147,118,188,113,CLU0
157,139,186,120,CLU0
154,135,180,118,CLU0
145,129,173,118,CLU0
133,126,183,103,CLU0
140,124,179,103,CLU0
145,132,172,108,CLU0
141,126,173,113,CLU0
134,136,180,110,CLU0
133,131,168,102,CLU0
114,131,182,102,CLU0
124,130,179,102,CLU0
130,128,178,98,CLU0
122,131,189,106,CLU0
129,131,179,115,CLU0
117,132,185,106,CLU0
127,129,195,117,CLU0
139,127,201,114,CLU0
121,130,189,143,CLU0
118,123,169,137,CLU0
137,126,187,127,CLU0
125,136,190,124,CLU0
102,149,167,157,CLU0
87,178,166,175,CLU0
25,231,138,329,CLU0
106,182,167,208,CLU0
157,119,183,142,CLU0
152,133,174,137,CLU0
153,115,179,91,CLU0
166,120,172,102,CLU0
101,109,174,104,CLU0
104,126,172,106,CLU0
113,124,169,115,CLU0
123,121,178,130,CLU0
153,112,188,116,CLU0
160,115,179,123,CLU0
149,114,185,107,CLU0
142,121,188,133,CLU0
119,120,185,125,CLU0
107,117,178,131,CLU0
121,115,180,125,CLU0
138,114,184,114,CLU0
125,118,180,117,CLU0
113,116,178,121,CLU0
100,108,183,112,CLU0
91,119,168,140,CLU0
113,118,178,130,CLU0
116,118,173,128,CLU0
117,122,176,103,CLU0
133,115,178,113,CLU0
134,109,170,110,CLU0
146,117,185,121,CLU0
147,121,170,130,CLU0
130,116,181,124,CLU0
137,114,180,145,CLU0
135,110,165,188,CLU0
129,118,152,174,CLU0
117,128,160,134,CLU0
102,137,162,114,CLU0
75,135,166,100,CLU0
94,107,166,114,CLU0
109,113,169,112,CLU0
111,115,175,95,CLU0
121,108,178,98,CLU0
132,115,179,91,CLU0
141,108,182,110,CLU0
136,102,171,94,CLU0
121,103,157,118,CLU0
116,111,156,115,CLU0
113,108,155,156,CLU0
71,135,115,276,CLU0
39,159,86,302,CLU0
41,154,71,334,CLU0
55,82,95,301,CLU0
71,47,66,147,CLU0
107,60,91,96,CLU0
70,43,109,53,CLU0
12,12,6,17,CLU0
33,8,11,23,CLU0
12,16,22,14,CLU0
11,8,8,16,CLU0
12,7,7,17,CLU0
29,20,11,34,CLU0
80,39,57,15,CLU0
70,10,51,25,CLU0
206,56,62,121,CLU0
227,74,65,110,CLU0
138,84,35,79,CLU0
118,43,116,39,CLU0
21,6,36,8,CLU0
3,6,12,5,CLU0
7,8,6,1,CLU0
11,8,6,4,CLU0
10,1,1,4,CLU0
3,4,4,3,CLU0
6,7,9,3,CLU0
6,2,8,4,CLU0
5,5,6,5,CLU0
10,5,2,7,CLU0
6,5,8,7,CLU0
11,4,7,8,CLU0
7,9,1,2,CLU0
15,4,6,8,CLU0
16,8,2,11,CLU0
35,37,60,76,CLU0
41,43,72,92,CLU0
42,37,68,78,CLU0
45,36,63,94,CLU0
42,39,54,116,CLU0
35,40,52,138,CLU0
30,37,56,119,CLU0
42,33,55,108,CLU0
45,28,58,81,CLU0
21,26,59,65,CLU0
27,31,59,47,CLU0
39,24,61,73,CLU0
50,27,47,49,CLU0
54,30,61,42,CLU0
55,34,64,46,CLU0
61,27,61,54,CLU0
66,28,71,67,CLU0
64,33,69,95,CLU0
77,39,67,114,CLU0
92,45,77,138,CLU0
83,43,66,127,CLU0
88,51,64,142,CLU0
85,40,50,177,CLU0
75,39,52,218,CLU0
76,40,51,234,CLU0
77,37,62,239,CLU0
77,39,67,221,CLU0
78,37,71,230,CLU0
83,38,57,220,CLU0
81,34,60,234,CLU0
66,34,70,252,CLU0
66,37,67,242,CLU0
56,37,65,173,CLU0
50,37,73,111,CLU0
35,27,53,82,CLU0
23,34,71,111,CLU0
37,28,84,120,CLU0
49,21,74,119,CLU0
37,33,66,98,CLU0
40,38,69,123,CLU0
42,30,68,162,CLU0
53,34,60,141,CLU0
35,39,70,124,CLU0
49,35,73,115,CLU0
49,38,70,98,CLU0
24,31,66,98,CLU0
34,32,80,176,CLU0
31,31,90,247,CLU0
32,38,84,207,CLU0
34,34,74,187,CLU0
33,23,81,167,CLU0
37,30,78,123,CLU0
42,41,79,74,CLU0
35,37,68,98,CLU0
49,44,84,102,CLU0
41,56,77,194,CLU0
33,82,107,181,CLU0
60,114,157,68,CLU0
142,98,168,118,CLU0
151,103,152,130,CLU0
141,108,158,112,CLU0
136,115,153,123,CLU0
125,112,155,135,CLU0
142,105,171,117,CLU0
132,96,170,117,CLU0
132,105,172,110,CLU0
123,92,176,83,CLU0
144,101,184,75,CLU0
137,101,165,78,CLU0
145,99,169,62,CLU0
147,101,169,66,CLU0
142,105,184,51,CLU0
147,102,189,69,CLU0
145,99,180,68,CLU0
137,101,174,69,CLU0
153,107,161,84,CLU0
145,108,166,82,CLU0
151,106,174,61,CLU0
141,106,164,43,CLU0
148,122,166,63,CLU0
135,112,175,84,CLU0
128,119,172,109,CLU0
135,121,178,109,CLU0
128,110,177,135,CLU0
140,112,174,140,CLU0
137,119,174,114,CLU0
131,125,183,120,CLU0
140,124,182,90,CLU0
137,144,181,129,CLU0
139,122,192,101,CLU0
135,125,191,95,CLU0
145,119,201,111,CLU0
156,121,184,122,CLU0
154,126,177,106,CLU0
153,126,189,101,CLU0
162,132,189,120,CLU0
151,123,177,105,CLU0
139,118,178,117,CLU0
135,122,184,101,CLU0
141,118,175,105,CLU0
137,126,173,98,CLU0
135,123,171,107,CLU0
133,128,177,109,CLU0
126,133,173,104,CLU0
113,132,184,116,CLU0
133,131,189,108,CLU0
128,125,178,101,CLU0
123,128,187,92,CLU0
125,129,184,116,CLU0
118,132,194,112,CLU0
130,130,204,114,CLU0
132,135,200,126,CLU0
127,129,188,143,CLU0
133,129,179,140,CLU0
148,120,194,113,CLU0
101,138,179,117,CLU0
97,150,174,146,CLU0
90,167,168,219,CLU0
36,210,113,308,CLU0
128,160,175,141,CLU0
158,123,183,146,CLU0
148,127,181,120,CLU0
156,113,174,99,CLU0
152,121,170,97,CLU0
95,115,171,117,CLU0
116,126,178,102,CLU0
120,127,171,115,CLU0
135,121,181,114,CLU0
157,111,198,111,CLU0
151,116,192,122,CLU0
145,119,191,113,CLU0
150,117,195,131,CLU0
139,113,183,125,CLU0
120,117,177,130,CLU0
127,118,175,130,CLU0
127,123,183,118,CLU0
121,123,175,114,CLU0
112,114,189,116,CLU0
89,116,181,110,CLU0
84,120,170,131,CLU0
109,114,186,122,CLU0
116,116,176,120,CLU0
118,123,172,104,CLU0
144,113,182,117,CLU0
136,109,180,122,CLU0
143,112,188,130,CLU0
155,115,168,130,CLU0
146,112,173,119,CLU0
141,110,177,126,CLU0
143,108,182,150,CLU0
136,110,162,181,CLU0
131,117,161,171,CLU0
127,128,158,150,CLU0
100,136,157,120,CLU0
102,109,167,106,CLU0
100,115,174,118,CLU0
116,118,177,101,CLU0
116,107,173,98,CLU0
130,107,170,95,CLU0
140,106,178,111,CLU0
136,105,170,96,CLU0
114,105,153,117,CLU0
119,111,156,126,CLU0
116,113,146,165,CLU0
77,142,111,243,CLU0
39,170,87,311,CLU0
38,162,74,336,CLU0
63,68,103,272,CLU0
78,46,57,115,CLU0
91,69,103,99,CLU0
67,34,107,45,CLU0
17,13,16,14,CLU0
35,11,3,20,CLU0
17,15,23,12,CLU0
14,6,9,8,CLU0
17,6,11,19,CLU0
29,20,18,35,CLU0
78,43,66,12,CLU0
67,8,34,36,CLU0
186,61,85,134,CLU0
216,72,70,108,CLU0
138,79,47,83,CLU0
107,43,114,48,CLU0
14,4,32,7,CLU0
6,5,11,1,CLU0
3,6,7,4,CLU0
3,6,4,5,CLU0
6,6,1,4,CLU0
3,3,0,3,CLU0
9,3,8,6,CLU0
3,2,10,2,CLU0
2,7,5,3,CLU0
6,3,3,2,CLU0
8,4,8,7,CLU0
5,7,7,9,CLU0
4,10,5,7,CLU0
16,2,6,10,CLU0
18,5,9,6,CLU0
34,41,66,84,CLU0
43,46,79,92,CLU0
42,41,74,93,CLU0
47,36,74,109,CLU0
37,40,55,120,CLU0
38,40,56,139,CLU0
35,41,56,137,CLU0
35,39,64,142,CLU0
34,30,61,131,CLU0
25,29,65,94,CLU0
30,34,59,76,CLU0
39,29,67,86,CLU0
38,31,55,99,CLU0
49,38,65,64,CLU0
51,33,65,53,CLU0
48,28,69,67,CLU0
50,29,68,93,CLU0
50,34,74,112,CLU0
61,34,84,106,CLU0
82,35,81,123,CLU0
73,41,68,125,CLU0
72,43,63,124,CLU0
69,33,58,159,CLU0
61,32,61,205,CLU0
56,36,58,209,CLU0
65,36,61,196,CLU0
68,33,69,169,CLU0
66,34,62,187,CLU0
68,31,63,187,CLU0
62,30,64,206,CLU0
54,31,76,180,CLU0
56,37,71,143,CLU0
46,34,71,65,CLU0
32,37,68,64,CLU0
26,26,52,104,CLU0
21,28,72,138,CLU0
32,29,86,160,CLU0
40,23,68,144,CLU0
32,30,63,132,CLU0
26,26,57,159,CLU0
31,29,63,193,CLU0
44,32,62,207,CLU0
35,37,76,207,CLU0
56,36,73,207,CLU0
42,40,73,181,CLU0
23,33,73,174,CLU0
36,35,87,215,CLU0
30,45,102,263,CLU0
26,49,115,213,CLU0
34,39,119,190,CLU0
37,39,112,176,CLU0
40,38,113,162,CLU0
35,39,102,120,CLU0
24,37,73,133,CLU0
38,35,89,139,CLU0
26,38,74,239,CLU0
33,94,123,164,CLU0
96,109,173,83,CLU0
167,95,168,143,CLU0
143,106,162,123,CLU0
133,109,159,113,CLU0
136,114,157,124,CLU0
130,108,159,142,CLU0
140,97,173,119,CLU0
134,90,167,123,CLU0
134,104,176,114,CLU0
129,91,184,110,CLU0
