FLASH,DESS,FISP,PSIF,Class
104,81,115,26,CLU0
49,61,142,41,CLU0
26,25,147,36,CLU0
12,6,135,73,CLU0
16,12,62,122,CLU0
16,7,54,119,CLU0
5,16,16,42,CLU0
7,21,36,26,CLU0
9,15,27,11,CLU0
15,20,23,23,CLU0
5,10,30,14,CLU0
8,15,44,10,CLU0
11,13,35,7,CLU0
13,13,38,8,CLU0
5,11,26,9,CLU0
7,23,35,7,CLU0
8,19,43,11,CLU0
4,10,57,20,CLU0
8,12,43,10,CLU0
20,19,34,5,CLU0
13,22,24,12,CLU0
18,20,19,10,CLU0
14,26,2,3,CLU0
9,12,11,8,CLU0
3,16,25,9,CLU0
8,12,23,3,CLU0
2,12,29,7,CLU0
3,21,33,10,CLU0
5,14,22,7,CLU0
5,10,9,18,CLU0
15,19,11,13,CLU0
9,18,8,10,CLU0
6,20,16,6,CLU0
6,20,9,14,CLU0
8,18,2,3,CLU0
6,17,14,18,CLU0
2,15,3,3,CLU0
8,9,6,4,CLU0
4,18,4,3,CLU0
10,12,21,12,CLU0
9,19,16,6,CLU0
9,14,22,9,CLU0
5,14,23,12,CLU0
2,12,15,11,CLU0
11,17,19,7,CLU0
9,14,16,4,CLU0
8,17,13,7,CLU0
12,10,32,46,CLU0
8,13,16,24,CLU0
2,18,28,18,CLU0
3,30,3,35,CLU0
15,25,15,32,CLU0
13,26,29,9,CLU0
14,15,57,26,CLU0
17,14,42,26,CLU0
14,18,42,46,CLU0
9,20,20,57,CLU0
6,28,23,52,CLU0
2,31,17,28,CLU0
10,19,25,12,CLU0
26,13,34,40,CLU0
16,19,25,30,CLU0
27,14,22,25,CLU0
12,11,30,66,CLU0
10,6,27,87,CLU0
38,14,35,73,CLU0
54,39,42,81,CLU0
86,63,26,54,CLU0
117,84,44,64,CLU0
146,111,99,109,CLU0
120,125,129,125,CLU0
75,80,155,172,CLU0
81,66,171,185,CLU0
136,65,178,182,CLU0
111,63,54,208,CLU0
106,60,102,122,CLU0
93,49,123,41,CLU0
114,52,151,55,CLU0
125,71,126,59,CLU0
137,68,109,20,CLU0
90,62,116,16,CLU0
70,39,142,18,CLU0
23,17,147,26,CLU0
