u1(t),u2(t),u3(t),u4(t)
0.08092366,0.55644256,0.55935514,0.67958397
0.5078324,-0.17634344,1.2217516,0.34105298
0.65995246,-0.8891375,1.5675907,-0.9327957
1.0357101,-0.41097048,1.3296666,-1.2449894
1.4090725,0.714205,0.84825045,0.15177836
1.2300622,1.1681757,0.686464,1.2024915
0.70578235,1.1476382,0.6889586,0.375654
0.50728357,1.5356673,0.33317694,-0.67225605
0.60036683,1.7895033,-0.11059988,0.23710006
0.3601028,1.042844,0.03209308,2.2277453
-0.19717307,0.0975984,0.57671934,2.7027037
-0.41676372,-0.101908036,0.7769935,1.1488421
-0.31383178,-0.40734312,0.3813794,-0.52265906
-0.4692339,-1.4235516,-0.35381335,-0.7763758
-0.5302887,-1.6352104,-0.871228,0.1207286
0.27765077,-0.19321291,-0.5197072,0.9602659
1.1145592,0.9268592,0.28105187,0.754636
0.44622466,0.1563661,0.01976528,-0.3986481
-1.0578736,-0.9857783,-1.3378061,-1.1808348
-1.2823325,-0.72886145,-1.6435404,-0.5817372
-0.020760525,0.28143403,-0.044299755,0.6421347
1.1733284,1.0208448,1.3489883,1.1704464
1.7262936,1.8830465,0.95571536,1.0540687
1.9685203,2.8195038,0.18239835,0.97306114
1.5377374,2.3812723,0.6438069,0.618823
0.34962147,0.14431806,1.3634475,-0.41840115
-0.31574795,-2.0035617,0.6479257,-1.2571217
0.1934142,-2.3136513,-0.9564259,-1.0066657
0.5440426,-1.3738537,-1.603623,-0.32850704
-0.1579523,-0.66950744,-1.1201408,-0.10840874
-0.61718297,-0.29657048,-0.8693002,0.11539471
0.098472826,0.33466828,-0.97762984,0.8081671
0.48402023,0.6911051,-0.10426544,1.0455761
-0.615607,0.0733936,1.8243582,0.18455529
-1.3765166,-0.53797954,2.996839,-0.56765985
0.0679279,0.1516871,2.3344774,0.068340145
2.099062,1.3469747,0.85908026,1.4228674
2.0466888,1.4251062,0.03345248,2.007241
0.43021533,0.77918434,0.06605787,1.5241832
-0.23744555,0.8907937,0.111632705,0.75203574
0.4567698,1.3181723,-0.57662016,0.3056758
0.76425165,0.48270726,-1.7424068,0.17407356
0.01256515,-1.071697,-2.2500682,0.0023669535
